Dates,Bomji
1992-10,4.78
1992-11,4.8
1992-12,4.8
1993-01,4.89
1993-02,5.13
1993-03,5.25
1993-04,5.41
1993-05,5.37
1993-06,5.22
1993-07,5.22
1993-08,5.24
1993-09,5.28
1993-10,5.29
1993-11,5.48
1993-12,5.7
1994-01,5.9
1994-02,6.3
1994-03,6.6
1994-04,7.0
1994-05,7.0
1994-06,7.0
1994-07,7.2
1994-08,7.3
1994-09,7.4
1994-10,7.5
1994-11,7.5
1994-12,7.5
1995-01,7.6
1995-02,7.9
1995-03,7.8
1995-04,8.0
1995-05,8.0
1995-06,8.1
1995-07,8.3
1995-08,8.5
1995-09,8.6
1995-10,8.8
1995-11,8.8
1995-12,8.8
1996-01,9.1
1996-02,9.2
1996-03,9.2
1996-04,9.5
1996-05,9.6
1996-06,9.6
1996-07,9.7
1996-08,9.7
1996-09,9.8
1996-10,9.8
1996-11,9.9
1996-12,10.0
1997-01,10.1
1997-02,10.3
1997-03,10.5
1997-04,10.7
1997-05,10.9
1997-06,10.9
1997-07,10.9
1997-08,10.9
1997-09,11.0
1997-10,11.1
1997-11,11.2
1997-12,11.2
1998-01,11.4
1998-02,11.6
1998-03,11.7
1998-04,11.7
1998-05,11.5
1998-06,11.3
1998-07,11.3
1998-08,11.6
1998-09,11.9
1998-10,12.3
1998-11,12.9
1998-12,13.3
1999-01,14.3
1999-02,14.6
1999-03,14.0
1999-04,13.5
1999-05,12.9
1999-06,12.8
1999-07,12.5
1999-08,12.1
1999-09,12.2
1999-10,12.4
1999-11,12.6
1999-12,12.5
2000-01,12.5
2000-02,12.4
2000-03,11.4
2000-04,10.8
2000-05,10.3
2000-06,10.1
2000-07,10.0
2000-08,9.9
2000-09,9.8
2000-10,9.8
2000-11,9.8
2000-12,9.9
2001-01,9.9
2001-02,10.0
2001-03,9.5
2001-04,9.1
2001-05,8.6
2001-06,8.5
2001-07,8.5
2001-08,8.5
2001-09,8.6
2001-10,8.7
2001-11,8.8
2001-12,8.6
2002-01,8.5
2002-02,8.4
2002-03,8.2
2002-04,8.0
2002-05,7.7
2002-06,7.5
2002-07,7.4
2002-08,7.2
2002-09,7.7
2002-10,8.2
2002-11,8.7
2002-12,9.0
2003-01,9.0
2003-02,9.2
2003-03,8.8
2003-04,8.4
2003-05,8.1
2003-06,8.0
2003-07,7.9
2003-08,7.8
2003-09,7.8
2003-10,7.8
2003-11,7.8
2003-12,8.2
2004-01,8.7
2004-02,9.1
2004-03,8.5
2004-04,7.8
2004-05,7.1
2004-06,7.1
2004-07,7.0
2004-08,6.9
2004-09,7.2
2004-10,7.6
2004-11,7.9
2004-12,7.9
2005-01,7.9
2005-02,7.9
2005-03,7.6
2005-04,7.2
2005-05,6.9
2005-06,6.9
2005-07,6.8
2005-08,6.8
2005-09,6.8
2005-10,6.9
2005-11,6.9
2005-12,7.2
2006-01,7.5
2006-02,7.8
2006-03,7.6
2006-04,7.5
2006-05,7.4
2006-06,7.1
2006-07,7.3
2006-08,6.4
2006-09,6.5
2006-10,6.6
2006-11,6.6
2006-12,6.8
2007-01,6.9
2007-02,7.1
2007-03,6.7
2007-04,6.3
2007-05,5.8
2007-06,5.7
2007-07,5.6
2007-08,5.5
2007-09,5.5
2007-10,5.8
2007-11,5.6
2007-12,6.0
2008-01,6.5
2008-02,6.9
2008-03,6.4
2008-04,5.8
2008-05,5.3
2008-06,5.5
2008-07,5.6
2008-08,5.8
2008-09,6.1
2008-10,6.5
2008-11,6.8
2008-12,7.6
2009-01,8.4
2009-02,9.2
2009-03,9.0
2009-04,8.7
2009-05,8.4
2009-06,8.2
2009-07,8.0
2009-08,7.8
2009-09,7.5
2009-10,7.6
2009-11,8.1
2009-12,8.0
2010-01,9.0
2010-02,8.5
2010-03,8.5
2010-04,8.1
2010-05,7.2
2010-06,6.7
2010-07,6.8
2010-08,6.7
2010-09,6.5
2010-10,6.7
2010-11,6.6
2010-12,7.0
2011-01,7.6
2011-02,7.4
2011-03,7.0
2011-04,7.1
2011-05,6.2
2011-06,6.0
2011-07,6.4
2011-08,6.0
2011-09,6.0
2011-10,6.2
2011-11,6.2
2011-12,6.0
2012-01,6.3
2012-02,6.2
2012-03,6.3
2012-04,5.6
2012-05,5.2
2012-06,5.2
2012-07,5.2
2012-08,5.0
2012-09,5.0
2012-10,5.1
2012-11,5.2
2012-12,5.1
2013-01,6.0
2013-02,5.8
2013-03,5.7
2013-04,5.6
2013-05,5.2
2013-06,5.4
2013-07,5.3
2013-08,5.2
2013-09,5.3
2013-10,5.5
2013-11,5.4
2013-12,5.6
2014-01,5.6
2014-02,5.6
2014-03,5.4
2014-04,5.3
2014-05,4.9
2014-06,4.9
2014-07,4.9
2014-08,4.8
2014-09,4.9
2014-10,5.1
2014-11,5.2
2014-12,5.3
2015-01,5.5
2015-02,5.8
2015-03,5.9
2015-04,5.8
2015-05,5.6
2015-06,5.4
2015-07,5.3
2015-08,5.3
2015-09,5.2
2015-10,5.5
2015-11,5.8
2015-12,5.8
2016-01,5.8
2016-02,5.8
2016-03,6.0
2016-04,5.9
2016-05,5.6
2016-06,5.4
2016-07,5.3
2016-08,5.2
2016-09,5.2
2016-10,5.4
2016-11,5.4
2016-12,5.3
2017-01,5.6
2017-02,5.6
2017-03,5.4
2017-04,5.3
2017-05,5.2
2017-06,5.1
2017-07,5.1
2017-08,4.9
2017-09,5.0
2017-10,5.0
2017-11,5.1
2017-12,5.1
2018-01,5.2
2018-02,5.0
2018-03,5.0
2018-04,4.9
2018-05,4.7
2018-06,4.7
2018-07,4.7
2018-08,4.6
2018-09,4.5
2018-10,4.7
2018-11,4.8
2018-12,4.8
2019-01,4.9
2019-02,4.9
2019-03,4.7
2019-04,4.7
2019-05,4.5
2019-06,4.4
2019-07,4.5
2019-08,4.3
2019-09,4.5
2019-10,4.6
2019-11,4.6
2019-12,4.6
2020-01,4.7
2020-02,4.6
2020-03,4.7
2020-04,5.8
2020-05,6.1
2020-06,6.2
2020-07,6.3
2020-08,6.4
2020-09,6.3
2020-10,6.3
2020-11,6.1
2020-12,5.9
2021-01,5.8
2021-02,5.7
2021-03,5.4
2021-04,5.2
2021-05,4.9
2021-06,4.8
2021-07,4.0
2021-08,4.4
2021-09,4.3
2021-10,4.3
2021-11,4.3
2021-12,4.3
2022-01,4.4
2022-02,4.1
2022-03,4.1
2022-04,4.0
2022-05,3.9
2022-06,3.9
2022-07,3.9
2022-08,3.8
2022-09,3.9
2022-10,3.9
2022-11,3.7
2022-12,3.7
2023-01,3.6
2023-02,3.5
2023-03,3.5
2023-04,3.3
2023-05,3.2
2023-06,3.1
2023-07,3.0
2023-08,3.0
2023-09,3.0
2023-10,2.9
2023-11,2.9
2023-12,3.0
2024-01,2.9
2024-02,2.8
2024-03,2.7
2024-04,2.6
2024-05,2.6
2024-06,2.4
2024-07,2.4
2024-08,2.4
2024-09,2.4
2024-10,2.3
2024-11,2.3
2024-12,2.3
2025-01,2.4
2025-02,2.4
2025-03,2.3
